name,season,episode,character
The Kingsroad,1,2,Viserys Targaryen
The Kingsroad,1,2,Catelyn Stark
The Kingsroad,1,2,Cersei Lannister
The Kingsroad,1,2,Jaime Lannister
The Kingsroad,1,2,Eddard Stark
The Kingsroad,1,2,Robert Baratheon
The Kingsroad,1,2,Jorah Mormont
The Kingsroad,1,2,Daenerys Targaryen
The Kingsroad,1,2,Jon Snow
The Kingsroad,1,2,Petyr Baelish
The Kingsroad,1,2,Arya Stark
The Kingsroad,1,2,Sansa Stark
The Kingsroad,1,2,Bran Stark
The Kingsroad,1,2,Robb Stark
The Kingsroad,1,2,Joffrey Baratheon
The Kingsroad,1,2,Tyrion Lannister
The Kingsroad,1,2,Jeor Mormont
The Kingsroad,1,2,Alliser Thorne
The Kingsroad,1,2,Jory Cassel
The Kingsroad,1,2,Barristan Selmy
The Kingsroad,1,2,Rodrik Cassel
The Kingsroad,1,2,Benjen Stark
The Kingsroad,1,2,Yoren
The Kingsroad,1,2,Renly Baratheon
The Kingsroad,1,2,Maester Aemon
The Kingsroad,1,2,Syrio Forel
The Kingsroad,1,2,Grenn
The Kingsroad,1,2,Irri
The Kingsroad,1,2,Pypar
The Kingsroad,1,2,Rakharo
The Kingsroad,1,2,Lancel Lannister
Lord Snow,1,3,Eddard Stark
Lord Snow,1,3,Robert Baratheon
Lord Snow,1,3,Jaime Lannister
Lord Snow,1,3,Catelyn Stark
Lord Snow,1,3,Cersei Lannister
Lord Snow,1,3,Daenerys Targaryen
Lord Snow,1,3,Jorah Mormont
Lord Snow,1,3,Petyr Baelish
Lord Snow,1,3,Viserys Targaryen
Lord Snow,1,3,Jon Snow
Lord Snow,1,3,Arya Stark
Lord Snow,1,3,Sansa Stark
Lord Snow,1,3,Robb Stark
Lord Snow,1,3,Theon Greyjoy
Lord Snow,1,3,Bran Stark
Lord Snow,1,3,Joffrey Baratheon
Lord Snow,1,3,Sandor Clegane
Lord Snow,1,3,Bronn
Lord Snow,1,3,Tyrion Lannister
Lord Snow,1,3,Alliser Thorne
Lord Snow,1,3,Jory Cassel
Lord Snow,1,3,Rodrik Cassel
Lord Snow,1,3,Yoren
Lord Snow,1,3,Barristan Selmy
Lord Snow,1,3,Janos Slynt
Lord Snow,1,3,Renly Baratheon
Lord Snow,1,3,Marillion
Lord Snow,1,3,Samwell Tarly
Lord Snow,1,3,Grenn
Lord Snow,1,3,Pypar
Lord Snow,1,3,Gregor Clegane
Lord Snow,1,3,Irri
Lord Snow,1,3,Doreah
Lord Snow,1,3,Gendry
Lord Snow,1,3,Hodor
Lord Snow,1,3,Tobho Mott
Lord Snow,1,3,Tommen Baratheon
Lord Snow,1,3,Myrcella Baratheon
Lord Snow,1,3,Lancel Lannister
Winter Is Coming,1,1,Benjen Stark
Winter Is Coming,1,1,Jhiqui
Winter Is Coming,1,1,Mycah
Winter Is Coming,1,1,Mikken
Winter Is Coming,1,1,Eddard Stark
Winter Is Coming,1,1,Robert Baratheon
Winter Is Coming,1,1,Jaime Lannister
Winter Is Coming,1,1,Catelyn Stark
Winter Is Coming,1,1,Daenerys Targaryen
Winter Is Coming,1,1,Cersei Lannister
Winter Is Coming,1,1,Jorah Mormont
Winter Is Coming,1,1,Viserys Targaryen
Winter Is Coming,1,1,Jon Snow
Winter Is Coming,1,1,Sansa Stark
Winter Is Coming,1,1,Arya Stark
Winter Is Coming,1,1,Robb Stark
Winter Is Coming,1,1,Theon Greyjoy
Winter Is Coming,1,1,Bran Stark
Winter Is Coming,1,1,Joffrey Baratheon
Winter Is Coming,1,1,Sandor Clegane
Winter Is Coming,1,1,Tyrion Lannister
Winter Is Coming,1,1,Jory Cassel
Winter Is Coming,1,1,Doreah
Winter Is Coming,1,1,Qotho
Winter Is Coming,1,1,Rodrik Cassel
Winter Is Coming,1,1,Irri
Winter Is Coming,1,1,Ilyn Payne
Winter Is Coming,1,1,Tommen Baratheon
Winter Is Coming,1,1,Myrcella Baratheon
The Wolf and the Lion,1,5,Viserys Targaryen
The Wolf and the Lion,1,5,Stiv
The Wolf and the Lion,1,5,Eddard Stark
The Wolf and the Lion,1,5,Robert Baratheon
The Wolf and the Lion,1,5,Catelyn Stark
The Wolf and the Lion,1,5,Cersei Lannister
The Wolf and the Lion,1,5,Daenerys Targaryen
The Wolf and the Lion,1,5,Jorah Mormont
The Wolf and the Lion,1,5,Petyr Baelish
The Wolf and the Lion,1,5,Robb Stark
The Wolf and the Lion,1,5,Sansa Stark
The Wolf and the Lion,1,5,Arya Stark
The Wolf and the Lion,1,5,Theon Greyjoy
The Wolf and the Lion,1,5,Bran Stark
The Wolf and the Lion,1,5,Joffrey Baratheon
The Wolf and the Lion,1,5,Tyrion Lannister
The Wolf and the Lion,1,5,Bronn
The Wolf and the Lion,1,5,Rodrik Cassel
The Wolf and the Lion,1,5,Barristan Selmy
The Wolf and the Lion,1,5,Loras Tyrell
The Wolf and the Lion,1,5,Lysa Arryn
The Wolf and the Lion,1,5,Renly Baratheon
The Wolf and the Lion,1,5,Marillion
The Wolf and the Lion,1,5,Syrio Forel
The Wolf and the Lion,1,5,Mord
The Wolf and the Lion,1,5,Osha
The Wolf and the Lion,1,5,Irri
The Wolf and the Lion,1,5,Rakharo
The Wolf and the Lion,1,5,Doreah
The Wolf and the Lion,1,5,Hodor
The Wolf and the Lion,1,5,Aelinor Penrose
The Wolf and the Lion,1,5,Vardis Egen
The Wolf and the Lion,1,5,Qotho
The Wolf and the Lion,1,5,Lancel Lannister
"Cripples, Bastards, and Broken Things",1,4,Jory Cassel
"Cripples, Bastards, and Broken Things",1,4,Illyrio Mopatis
"Cripples, Bastards, and Broken Things",1,4,Mord
"Cripples, Bastards, and Broken Things",1,4,Vardis Egen
"Cripples, Bastards, and Broken Things",1,4,Eddard Stark
"Cripples, Bastards, and Broken Things",1,4,Robert Baratheon
"Cripples, Bastards, and Broken Things",1,4,Jaime Lannister
"Cripples, Bastards, and Broken Things",1,4,Catelyn Stark
"Cripples, Bastards, and Broken Things",1,4,Cersei Lannister
"Cripples, Bastards, and Broken Things",1,4,Petyr Baelish
"Cripples, Bastards, and Broken Things",1,4,Sansa Stark
"Cripples, Bastards, and Broken Things",1,4,Theon Greyjoy
"Cripples, Bastards, and Broken Things",1,4,Arya Stark
"Cripples, Bastards, and Broken Things",1,4,Bran Stark
"Cripples, Bastards, and Broken Things",1,4,Joffrey Baratheon
"Cripples, Bastards, and Broken Things",1,4,Sandor Clegane
"Cripples, Bastards, and Broken Things",1,4,Tyrion Lannister
"Cripples, Bastards, and Broken Things",1,4,Rodrik Cassel
"Cripples, Bastards, and Broken Things",1,4,Bronn
"Cripples, Bastards, and Broken Things",1,4,Barristan Selmy
"Cripples, Bastards, and Broken Things",1,4,Yoren
"Cripples, Bastards, and Broken Things",1,4,Lysa Arryn
"Cripples, Bastards, and Broken Things",1,4,Renly Baratheon
"Cripples, Bastards, and Broken Things",1,4,Marillion
"Cripples, Bastards, and Broken Things",1,4,Loras Tyrell
"Cripples, Bastards, and Broken Things",1,4,Gregor Clegane
"Cripples, Bastards, and Broken Things",1,4,Aelinor Penrose
"Cripples, Bastards, and Broken Things",1,4,Lancel Lannister
"Cripples, Bastards, and Broken Things",1,4,Tommen Baratheon
"Cripples, Bastards, and Broken Things",1,4,Myrcella Baratheon
A Golden Crown,1,6,Varly
A Golden Crown,1,6,Jaremy Rykker
A Golden Crown,1,6,Tomard
A Golden Crown,1,6,Eddard Stark
A Golden Crown,1,6,Robert Baratheon
A Golden Crown,1,6,Jaime Lannister
A Golden Crown,1,6,Cersei Lannister
A Golden Crown,1,6,Daenerys Targaryen
A Golden Crown,1,6,Jorah Mormont
A Golden Crown,1,6,Petyr Baelish
A Golden Crown,1,6,Jon Snow
A Golden Crown,1,6,Theon Greyjoy
A Golden Crown,1,6,Joffrey Baratheon
A Golden Crown,1,6,Sandor Clegane
A Golden Crown,1,6,Jeor Mormont
A Golden Crown,1,6,Alliser Thorne
A Golden Crown,1,6,Tywin Lannister
A Golden Crown,1,6,Barristan Selmy
A Golden Crown,1,6,Samwell Tarly
A Golden Crown,1,6,Maester Aemon
A Golden Crown,1,6,Renly Baratheon
A Golden Crown,1,6,Janos Slynt
A Golden Crown,1,6,Osha
A Golden Crown,1,6,Aelinor Penrose
A Golden Crown,1,6,Grenn
A Golden Crown,1,6,Pypar
A Golden Crown,1,6,Irri
A Golden Crown,1,6,Doreah
A Golden Crown,1,6,Rakharo
A Golden Crown,1,6,Qotho
A Golden Crown,1,6,Othell Yarwyck
You Win or You Die,1,7,Eddard Stark
You Win or You Die,1,7,Syrio Forel
You Win or You Die,1,7,Shagga
You Win or You Die,1,7,Mirri Maz Duur
You Win or You Die,1,7,Rakharo
You Win or You Die,1,7,Qotho
You Win or You Die,1,7,Mago
You Win or You Die,1,7,Catelyn Stark
You Win or You Die,1,7,Cersei Lannister
You Win or You Die,1,7,Daenerys Targaryen
You Win or You Die,1,7,Jorah Mormont
You Win or You Die,1,7,Petyr Baelish
You Win or You Die,1,7,Jon Snow
You Win or You Die,1,7,Robb Stark
You Win or You Die,1,7,Sansa Stark
You Win or You Die,1,7,Arya Stark
You Win or You Die,1,7,Theon Greyjoy
You Win or You Die,1,7,Bran Stark
You Win or You Die,1,7,Joffrey Baratheon
You Win or You Die,1,7,Sandor Clegane
You Win or You Die,1,7,Tyrion Lannister
You Win or You Die,1,7,Bronn
You Win or You Die,1,7,Jeor Mormont
You Win or You Die,1,7,Alliser Thorne
You Win or You Die,1,7,Rodrik Cassel
You Win or You Die,1,7,Tywin Lannister
You Win or You Die,1,7,Barristan Selmy
You Win or You Die,1,7,Samwell Tarly
You Win or You Die,1,7,Lysa Arryn
You Win or You Die,1,7,Janos Slynt
You Win or You Die,1,7,Osha
You Win or You Die,1,7,Grenn
You Win or You Die,1,7,Pypar
You Win or You Die,1,7,Irri
You Win or You Die,1,7,Doreah
You Win or You Die,1,7,Hodor
You Win or You Die,1,7,Kevan Lannister
You Win or You Die,1,7,Rickon Stark
You Win or You Die,1,7,Meryn Trant
You Win or You Die,1,7,Othell Yarwyck
You Win or You Die,1,7,Timett
Fire and Blood,1,10,Rakharo
Fire and Blood,1,10,Tobho Mott
Fire and Blood,1,10,Tyrion Lannister
Fire and Blood,1,10,Cersei Lannister
Fire and Blood,1,10,Jaime Lannister
Fire and Blood,1,10,Catelyn Stark
Fire and Blood,1,10,Daenerys Targaryen
Fire and Blood,1,10,Petyr Baelish
Fire and Blood,1,10,Davos Seaworth
Fire and Blood,1,10,Jorah Mormont
Fire and Blood,1,10,Jon Snow
Fire and Blood,1,10,Bran Stark
Fire and Blood,1,10,Robb Stark
Fire and Blood,1,10,Sansa Stark
Fire and Blood,1,10,Arya Stark
Fire and Blood,1,10,Theon Greyjoy
Fire and Blood,1,10,Samwell Tarly
Fire and Blood,1,10,Joffrey Baratheon
Fire and Blood,1,10,Sandor Clegane
Fire and Blood,1,10,Stannis Baratheon
Fire and Blood,1,10,Melisandre
Fire and Blood,1,10,Jeor Mormont
Fire and Blood,1,10,Bronn
Fire and Blood,1,10,Shae
Fire and Blood,1,10,Rodrik Cassel
Fire and Blood,1,10,Craster
Fire and Blood,1,10,Osha
Fire and Blood,1,10,Grenn
Fire and Blood,1,10,Eddison Tollett
Fire and Blood,1,10,Gendry
Fire and Blood,1,10,Hot Pie
Fire and Blood,1,10,Lommy Greenhands
Fire and Blood,1,10,Doreah
Fire and Blood,1,10,Irri
Fire and Blood,1,10,Hodor
Fire and Blood,1,10,Aelinor Penrose
Fire and Blood,1,10,Janos Slynt
Fire and Blood,1,10,Matthos Seaworth
Fire and Blood,1,10,Dontos Hollard
Fire and Blood,1,10,Gilly
Fire and Blood,1,10,Meryn Trant
Fire and Blood,1,10,Myrcella Baratheon
Fire and Blood,1,10,Tommen Baratheon
Fire and Blood,1,10,Amarei Crakehall
Fire and Blood,1,10,Timett
Baelor,1,9,Marillion
Baelor,1,9,Jonos Bracken
Baelor,1,9,Catelyn Stark
Baelor,1,9,Jaime Lannister
Baelor,1,9,Cersei Lannister
Baelor,1,9,Daenerys Targaryen
Baelor,1,9,Jorah Mormont
Baelor,1,9,Petyr Baelish
Baelor,1,9,Jon Snow
Baelor,1,9,Robb Stark
Baelor,1,9,Sansa Stark
Baelor,1,9,Arya Stark
Baelor,1,9,Theon Greyjoy
Baelor,1,9,Bran Stark
Baelor,1,9,Joffrey Baratheon
Baelor,1,9,Sandor Clegane
Baelor,1,9,Tyrion Lannister
Baelor,1,9,Jeor Mormont
Baelor,1,9,Rodrik Cassel
Baelor,1,9,Tywin Lannister
Baelor,1,9,Yoren
Baelor,1,9,Samwell Tarly
Baelor,1,9,Shae
Baelor,1,9,Osha
Baelor,1,9,Aelinor Penrose
Baelor,1,9,Ilyn Payne
Baelor,1,9,Grenn
Baelor,1,9,Pypar
Baelor,1,9,Mirri Maz Duur
Baelor,1,9,Irri
Baelor,1,9,Rakharo
Baelor,1,9,Hodor
Baelor,1,9,Kevan Lannister
Baelor,1,9,Lancel Lannister
Baelor,1,9,Gendry
Baelor,1,9,Lommy Greenhands
Baelor,1,9,Rickon Stark
Baelor,1,9,Hot Pie
Baelor,1,9,Meryn Trant
The Pointy End,1,8,Eddard Stark
The Pointy End,1,8,Shagga
The Pointy End,1,8,Mirri Maz Duur
The Pointy End,1,8,Rakharo
The Pointy End,1,8,Qotho
The Pointy End,1,8,Stevron Frey
The Pointy End,1,8,Leo Lefford
The Pointy End,1,8,Catelyn Stark
The Pointy End,1,8,Jaime Lannister
The Pointy End,1,8,Cersei Lannister
The Pointy End,1,8,Daenerys Targaryen
The Pointy End,1,8,Jorah Mormont
The Pointy End,1,8,Petyr Baelish
The Pointy End,1,8,Jon Snow
The Pointy End,1,8,Robb Stark
The Pointy End,1,8,Sansa Stark
The Pointy End,1,8,Arya Stark
The Pointy End,1,8,Theon Greyjoy
The Pointy End,1,8,Joffrey Baratheon
The Pointy End,1,8,Sandor Clegane
The Pointy End,1,8,Tyrion Lannister
The Pointy End,1,8,Bronn
The Pointy End,1,8,Jeor Mormont
The Pointy End,1,8,Rodrik Cassel
The Pointy End,1,8,Yoren
The Pointy End,1,8,Tywin Lannister
The Pointy End,1,8,Samwell Tarly
The Pointy End,1,8,Maester Aemon
The Pointy End,1,8,Shae
The Pointy End,1,8,Walder Frey
The Pointy End,1,8,Ilyn Payne
The Pointy End,1,8,Grenn
The Pointy End,1,8,Pypar
The Pointy End,1,8,Irri
The Pointy End,1,8,Doreah
The Pointy End,1,8,Kevan Lannister
The Pointy End,1,8,Janos Slynt
The Pointy End,1,8,Timett
The Pointy End,1,8,Joyeuse Erenford
The North Remembers,2,1,Tyrion Lannister
The North Remembers,2,1,Cersei Lannister
The North Remembers,2,1,Daenerys Targaryen
The North Remembers,2,1,Petyr Baelish
The North Remembers,2,1,Jorah Mormont
The North Remembers,2,1,Jon Snow
The North Remembers,2,1,Davos Seaworth
The North Remembers,2,1,Theon Greyjoy
The North Remembers,2,1,Arya Stark
The North Remembers,2,1,Stannis Baratheon
The North Remembers,2,1,Melisandre
The North Remembers,2,1,Bronn
The North Remembers,2,1,Samwell Tarly
The North Remembers,2,1,Shae
The North Remembers,2,1,Craster
The North Remembers,2,1,Balon Greyjoy
The North Remembers,2,1,Yoren
The North Remembers,2,1,Jaqen H'ghar
The North Remembers,2,1,Grenn
The North Remembers,2,1,Eddison Tollett
The North Remembers,2,1,Gendry
The North Remembers,2,1,Janos Slynt
The North Remembers,2,1,Doreah
The North Remembers,2,1,Irri
The North Remembers,2,1,Hot Pie
The North Remembers,2,1,Lommy Greenhands
The North Remembers,2,1,Aelinor Penrose
The North Remembers,2,1,Rorge
The North Remembers,2,1,Matthos Seaworth
The North Remembers,2,1,Salladhor Saan
The North Remembers,2,1,Gilly
The North Remembers,2,1,Biter
The North Remembers,2,1,Podrick Payne
The North Remembers,2,1,Amarei Crakehall
The Night Lands,2,2,Catelyn Stark
The Night Lands,2,2,Yoren
The Night Lands,2,2,Lommy Greenhands
The Night Lands,2,2,Timett
The Night Lands,2,2,Gerald Gower
The Night Lands,2,2,Tyrion Lannister
The Night Lands,2,2,Cersei Lannister
The Night Lands,2,2,Petyr Baelish
The Night Lands,2,2,Jon Snow
The Night Lands,2,2,Theon Greyjoy
The Night Lands,2,2,Bran Stark
The Night Lands,2,2,Sansa Stark
The Night Lands,2,2,Arya Stark
The Night Lands,2,2,Samwell Tarly
The Night Lands,2,2,Margaery Tyrell
The Night Lands,2,2,Jeor Mormont
The Night Lands,2,2,Bronn
The Night Lands,2,2,Shae
The Night Lands,2,2,Craster
The Night Lands,2,2,Balon Greyjoy
The Night Lands,2,2,Renly Baratheon
The Night Lands,2,2,Gendry
The Night Lands,2,2,Jaqen H'ghar
The Night Lands,2,2,Loras Tyrell
The Night Lands,2,2,Brienne of Tarth
The Night Lands,2,2,Hot Pie
The Night Lands,2,2,Gilly
The Night Lands,2,2,Hodor
The Night Lands,2,2,Amory Lorch
The Night Lands,2,2,Polliver
The Night Lands,2,2,Rorge
The Night Lands,2,2,Biter
The Night Lands,2,2,Myrcella Baratheon
The Night Lands,2,2,Tommen Baratheon
What Is Dead May Never Die,2,3,Catelyn Stark
What Is Dead May Never Die,2,3,Tyrion Lannister
What Is Dead May Never Die,2,3,Daenerys Targaryen
What Is Dead May Never Die,2,3,Petyr Baelish
What Is Dead May Never Die,2,3,Jorah Mormont
What Is Dead May Never Die,2,3,Tywin Lannister
What Is Dead May Never Die,2,3,Davos Seaworth
What Is Dead May Never Die,2,3,Joffrey Baratheon
What Is Dead May Never Die,2,3,Robb Stark
What Is Dead May Never Die,2,3,Sansa Stark
What Is Dead May Never Die,2,3,Arya Stark
What Is Dead May Never Die,2,3,Stannis Baratheon
What Is Dead May Never Die,2,3,Melisandre
What Is Dead May Never Die,2,3,Margaery Tyrell
What Is Dead May Never Die,2,3,Bronn
What Is Dead May Never Die,2,3,Sandor Clegane
What Is Dead May Never Die,2,3,Renly Baratheon
What Is Dead May Never Die,2,3,Xaro Xhoan Daxos
What Is Dead May Never Die,2,3,Roose Bolton
What Is Dead May Never Die,2,3,Gendry
What Is Dead May Never Die,2,3,Lancel Lannister
What Is Dead May Never Die,2,3,Brienne of Tarth
What Is Dead May Never Die,2,3,Pyat Pree
What Is Dead May Never Die,2,3,Doreah
What Is Dead May Never Die,2,3,Irri
What Is Dead May Never Die,2,3,Hot Pie
What Is Dead May Never Die,2,3,Loras Tyrell
What Is Dead May Never Die,2,3,Aelinor Penrose
What Is Dead May Never Die,2,3,Gregor Clegane
What Is Dead May Never Die,2,3,Meryn Trant
What Is Dead May Never Die,2,3,Dontos Hollard
What Is Dead May Never Die,2,3,Polliver
What Is Dead May Never Die,2,3,Amory Lorch
Garden of Bones,2,4,Renly Baratheon
Garden of Bones,2,4,Tyrion Lannister
Garden of Bones,2,4,Cersei Lannister
Garden of Bones,2,4,Daenerys Targaryen
Garden of Bones,2,4,Catelyn Stark
Garden of Bones,2,4,Petyr Baelish
Garden of Bones,2,4,Jorah Mormont
Garden of Bones,2,4,Jon Snow
Garden of Bones,2,4,Davos Seaworth
Garden of Bones,2,4,Tywin Lannister
Garden of Bones,2,4,Samwell Tarly
Garden of Bones,2,4,Theon Greyjoy
Garden of Bones,2,4,Bran Stark
Garden of Bones,2,4,Arya Stark
Garden of Bones,2,4,Margaery Tyrell
Garden of Bones,2,4,Jeor Mormont
Garden of Bones,2,4,Stannis Baratheon
Garden of Bones,2,4,Bronn
Garden of Bones,2,4,Hallyne
Garden of Bones,2,4,Brienne of Tarth
Garden of Bones,2,4,Rodrik Cassel
Garden of Bones,2,4,Pyat Pree
Garden of Bones,2,4,Jaqen H'ghar
Garden of Bones,2,4,Gendry
Garden of Bones,2,4,Lancel Lannister
Garden of Bones,2,4,Qhorin Halfhand
Garden of Bones,2,4,Grenn
Garden of Bones,2,4,Loras Tyrell
Garden of Bones,2,4,Eddison Tollett
Garden of Bones,2,4,Doreah
Garden of Bones,2,4,Irri
Garden of Bones,2,4,Xaro Xhoan Daxos
Garden of Bones,2,4,Hodor
Garden of Bones,2,4,Hot Pie
Garden of Bones,2,4,Lorren
Garden of Bones,2,4,Amory Lorch
Garden of Bones,2,4,Quaithe
Garden of Bones,2,4,Rickon Stark
Garden of Bones,2,4,Myrcella Baratheon
The Ghost of Harrenhal,2,5,Rodrik Cassel
The Ghost of Harrenhal,2,5,Amory Lorch
The Ghost of Harrenhal,2,5,Irri
The Ghost of Harrenhal,2,5,Farlen
The Ghost of Harrenhal,2,5,Drennan
The Ghost of Harrenhal,2,5,Jacks
The Ghost of Harrenhal,2,5,Quent
The Ghost of Harrenhal,2,5,Tyrion Lannister
The Ghost of Harrenhal,2,5,Cersei Lannister
The Ghost of Harrenhal,2,5,Catelyn Stark
The Ghost of Harrenhal,2,5,Daenerys Targaryen
The Ghost of Harrenhal,2,5,Petyr Baelish
The Ghost of Harrenhal,2,5,Jon Snow
The Ghost of Harrenhal,2,5,Tywin Lannister
The Ghost of Harrenhal,2,5,Bran Stark
The Ghost of Harrenhal,2,5,Robb Stark
The Ghost of Harrenhal,2,5,Sansa Stark
The Ghost of Harrenhal,2,5,Arya Stark
The Ghost of Harrenhal,2,5,Theon Greyjoy
The Ghost of Harrenhal,2,5,Joffrey Baratheon
The Ghost of Harrenhal,2,5,Shae
The Ghost of Harrenhal,2,5,Sandor Clegane
The Ghost of Harrenhal,2,5,Osha
The Ghost of Harrenhal,2,5,Roose Bolton
The Ghost of Harrenhal,2,5,Xaro Xhoan Daxos
The Ghost of Harrenhal,2,5,Jaqen H'ghar
The Ghost of Harrenhal,2,5,Ygritte
The Ghost of Harrenhal,2,5,Brienne of Tarth
The Ghost of Harrenhal,2,5,Qhorin Halfhand
The Ghost of Harrenhal,2,5,Meryn Trant
The Ghost of Harrenhal,2,5,Lorren
The Ghost of Harrenhal,2,5,Hodor
The Ghost of Harrenhal,2,5,Myrcella Baratheon
The Ghost of Harrenhal,2,5,Rickon Stark
The Ghost of Harrenhal,2,5,Tommen Baratheon
The Old Gods and the New,2,6,Quaithe
The Old Gods and the New,2,6,Torrhen Karstark
The Old Gods and the New,2,6,Tyrion Lannister
The Old Gods and the New,2,6,Catelyn Stark
The Old Gods and the New,2,6,Daenerys Targaryen
The Old Gods and the New,2,6,Cersei Lannister
The Old Gods and the New,2,6,Jaime Lannister
The Old Gods and the New,2,6,Jorah Mormont
The Old Gods and the New,2,6,Jon Snow
The Old Gods and the New,2,6,Tywin Lannister
The Old Gods and the New,2,6,Bran Stark
The Old Gods and the New,2,6,Robb Stark
The Old Gods and the New,2,6,Sansa Stark
The Old Gods and the New,2,6,Arya Stark
The Old Gods and the New,2,6,Theon Greyjoy
The Old Gods and the New,2,6,Shae
The Old Gods and the New,2,6,Sandor Clegane
The Old Gods and the New,2,6,Pyat Pree
The Old Gods and the New,2,6,Xaro Xhoan Daxos
The Old Gods and the New,2,6,Osha
The Old Gods and the New,2,6,Roose Bolton
The Old Gods and the New,2,6,Ygritte
The Old Gods and the New,2,6,Brienne of Tarth
The Old Gods and the New,2,6,Rickard Karstark
The Old Gods and the New,2,6,Lorren
The Old Gods and the New,2,6,Hodor
The Old Gods and the New,2,6,Gregor Clegane
The Old Gods and the New,2,6,Rickon Stark
The Old Gods and the New,2,6,Farlen
The Old Gods and the New,2,6,Drennan
The Old Gods and the New,2,6,Jacks
The Old Gods and the New,2,6,Quent
