house_name,img_url
Aegon II,https://vignette.wikia.nocookie.net/gameofthrones/images/c/c2/Aegon_II_sigil.png/revision/latest?cb=20140710110045
Dunk,https://vignette.wikia.nocookie.net/gameofthrones/images/1/18/Dunk-Square.PNG/revision/latest?cb=20170525234835
House Arryn,https://vignette.wikia.nocookie.net/gameofthrones/images/6/62/House-Arryn-Square.PNG/revision/latest?cb=20170512000629
House Ashford,https://vignette.wikia.nocookie.net/gameofthrones/images/5/53/House-Ashford-Square.PNG/revision/latest?cb=20160318115026
House Baelish,https://vignette.wikia.nocookie.net/gameofthrones/images/2/20/House-Baelish-Square.PNG/revision/latest?cb=20150226135222
House Baratheon NoCrown,https://vignette.wikia.nocookie.net/gameofthrones/images/e/e3/House-Baratheon-NoCrown-Square.PNG/revision/latest?cb=20170519001745
House Baratheon of Dragonstone,https://vignette.wikia.nocookie.net/gameofthrones/images/3/3a/House-Baratheon-of-Dragonstone-heraldry.jpg/revision/latest?cb=20140402114950
House Baratheon of King's Landing,https://vignette.wikia.nocookie.net/gameofthrones/images/8/88/House-Baratheon-of-Kings-Landing-heraldry.jpg/revision/latest?cb=20160731100449
House Baratheon of Storm's End,https://vignette.wikia.nocookie.net/gameofthrones/images/d/d5/House-Baratheon-of-Storm%27s-End-Square.PNG/revision/latest?cb=20160731224333
House Blackfyre,https://vignette.wikia.nocookie.net/gameofthrones/images/2/28/House-Blackfyre-Square.PNG/revision/latest?cb=20160317110429
House Blackwood,https://vignette.wikia.nocookie.net/gameofthrones/images/3/3e/House-Blackwood-Square.PNG/revision/latest?cb=20160731053014
House Bolton,https://vignette.wikia.nocookie.net/gameofthrones/images/7/71/House-Bolton-Square.PNG/revision/latest?cb=20170511001347
House Bracken,https://vignette.wikia.nocookie.net/gameofthrones/images/9/9b/House-Bracken-Square.PNG/revision/latest?cb=20160317124420
House Cerwyn,https://vignette.wikia.nocookie.net/gameofthrones/images/9/9c/House-Cerwyn-Square.PNG/revision/latest?cb=20160318115154
House Clegane,https://vignette.wikia.nocookie.net/gameofthrones/images/e/e0/House-Clegane-Square.PNG/revision/latest?cb=20160731060231
House Cole,https://vignette.wikia.nocookie.net/gameofthrones/images/b/b4/House-Cole-Square.PNG/revision/latest?cb=20180325180856
House Connington,https://vignette.wikia.nocookie.net/gameofthrones/images/9/9e/House-Connington-Square.PNG/revision/latest?cb=20180819210249
House Corbray,https://vignette.wikia.nocookie.net/gameofthrones/images/3/33/House-Corbray-Square.PNG/revision/latest?cb=20160317124851
House Crakehall,https://vignette.wikia.nocookie.net/gameofthrones/images/a/a4/House-Crakehall-Square.PNG/revision/latest?cb=20160731080138
House Dalt,https://vignette.wikia.nocookie.net/gameofthrones/images/d/d2/House-Dalt-Square.PNG/revision/latest?cb=20170522231157
House Dayne,https://vignette.wikia.nocookie.net/gameofthrones/images/3/38/House-Dayne-Square.PNG/revision/latest?cb=20161215005017
House Dondarrion,https://vignette.wikia.nocookie.net/gameofthrones/images/a/a7/House-Dondarrion-Square.PNG/revision/latest?cb=20160731104326
House Drumm,https://vignette.wikia.nocookie.net/gameofthrones/images/8/8c/House-Drumm-Square.PNG/revision/latest?cb=20170522234155
House Durrandon WithCrown,https://vignette.wikia.nocookie.net/gameofthrones/images/2/27/House-Durrandon-WithCrown-Square.PNG/revision/latest?cb=20170519002552
House Florent,https://vignette.wikia.nocookie.net/gameofthrones/images/3/39/House-Florent-Square.PNG/revision/latest?cb=20161224070306
House Forrester heraldry,https://vignette.wikia.nocookie.net/gameofthrones/images/8/8e/House-Forrester-heraldry.png/revision/latest?cb=20160413234513
House Fossoway  Green,https://vignette.wikia.nocookie.net/gameofthrones/images/5/50/House-Fossoway-Square-Green.PNG/revision/latest?cb=20161127054225
House Fossoway  Red,https://vignette.wikia.nocookie.net/gameofthrones/images/b/ba/House-Fossoway-Square-Red.PNG/revision/latest?cb=20161127073101
House Frey heraldry,https://vignette.wikia.nocookie.net/gameofthrones/images/8/8b/House-Frey-heraldry.jpg/revision/latest?cb=20140402112515
House Gardener,https://vignette.wikia.nocookie.net/gameofthrones/images/2/2d/House-Gardener-Square.PNG/revision/latest?cb=20170926003546
House Glenmore,https://vignette.wikia.nocookie.net/gameofthrones/images/1/1c/House-Glenmore-Square.PNG/revision/latest?cb=20160430095202
House Glover,https://vignette.wikia.nocookie.net/gameofthrones/images/1/17/House-Glover-Square.PNG/revision/latest?cb=20170511002116
House Greyjoy Euron,https://vignette.wikia.nocookie.net/gameofthrones/images/7/77/House-Greyjoy-Euron-Square.PNG/revision/latest?cb=20170807084136
House Greyjoy heraldry,https://vignette.wikia.nocookie.net/gameofthrones/images/c/c0/House-Greyjoy-heraldry.jpg/revision/latest?cb=20140402113620
House Haigh,https://vignette.wikia.nocookie.net/gameofthrones/images/8/8e/House-Haigh-Square.PNG/revision/latest?cb=20170523022646
House Harlaw,https://vignette.wikia.nocookie.net/gameofthrones/images/7/75/House-Harlaw-Square.PNG/revision/latest?cb=20170511004324
House Harroway,https://vignette.wikia.nocookie.net/gameofthrones/images/2/25/House-Harroway-Square.PNG/revision/latest?cb=20180201032103
House Hightower,https://vignette.wikia.nocookie.net/gameofthrones/images/1/1c/House-Hightower-Square.PNG/revision/latest?cb=20161127075636
House Hornwood,https://vignette.wikia.nocookie.net/gameofthrones/images/7/79/House-Hornwood-Square.PNG/revision/latest?cb=20160317094917
House Karstark,https://vignette.wikia.nocookie.net/gameofthrones/images/e/e7/House-Karstark-Square.PNG/revision/latest?cb=20160318141508
House Lannister heraldry,https://vignette.wikia.nocookie.net/gameofthrones/images/0/0b/House-Lannister-heraldry.jpg/revision/latest?cb=20140402110342
House Lefford,https://vignette.wikia.nocookie.net/gameofthrones/images/b/b5/House-Lefford-Square.PNG/revision/latest?cb=20160731102509
House Mallister,https://vignette.wikia.nocookie.net/gameofthrones/images/e/e9/House-Mallister-Square.PNG/revision/latest?cb=20160317105122
House Manderly,https://vignette.wikia.nocookie.net/gameofthrones/images/6/6a/House-Manderly-Square.PNG/revision/latest?cb=20161118160900
House Marbrand,https://vignette.wikia.nocookie.net/gameofthrones/images/f/f6/House-Marbrand-Square.PNG/revision/latest?cb=20160731082143
House Martell  Old,https://vignette.wikia.nocookie.net/gameofthrones/images/c/c1/House-Martell-Square-Old.PNG/revision/latest?cb=20170523025433
House Martell heraldry,https://vignette.wikia.nocookie.net/gameofthrones/images/2/2f/House-Martell-heraldry.jpg/revision/latest?cb=20140407045115
House Mormont,https://vignette.wikia.nocookie.net/gameofthrones/images/0/0a/House-Mormont-Square.PNG/revision/latest?cb=20160727082148
House Morrigen,https://vignette.wikia.nocookie.net/gameofthrones/images/e/e2/House-Morrigen-Square.PNG/revision/latest?cb=20160318143704
House Mudd,https://vignette.wikia.nocookie.net/gameofthrones/images/b/ba/House-Mudd-Square.PNG/revision/latest?cb=20170523030013
House Qorgyle,https://vignette.wikia.nocookie.net/gameofthrones/images/7/7e/House-Qorgyle-Square.PNG/revision/latest?cb=20170523030508
House Redwyne,https://vignette.wikia.nocookie.net/gameofthrones/images/a/a0/House-Redwyne-Square.PNG/revision/latest?cb=20170523030904
House Reed,https://vignette.wikia.nocookie.net/gameofthrones/images/0/0f/House-Reed-Square.PNG/revision/latest?cb=20160509125053
House Reyne,https://vignette.wikia.nocookie.net/gameofthrones/images/e/e9/House-Reyne-Square.PNG/revision/latest?cb=20160801001326
House Royce,https://vignette.wikia.nocookie.net/gameofthrones/images/9/96/House-Royce-Square.PNG/revision/latest?cb=20160424130623
House Seaworth,https://vignette.wikia.nocookie.net/gameofthrones/images/5/57/House-Seaworth-Square.PNG/revision/latest?cb=20170523033338
House Selmy,https://vignette.wikia.nocookie.net/gameofthrones/images/3/39/House-Selmy-Square.PNG/revision/latest?cb=20170523033712
House Stark heraldry,https://vignette.wikia.nocookie.net/gameofthrones/images/7/72/House-Stark-heraldry.jpg/revision/latest?cb=20140402121259
House Stokeworth,https://vignette.wikia.nocookie.net/gameofthrones/images/c/cc/House-Stokeworth-Square.PNG/revision/latest?cb=20160801015800
House Strong,https://vignette.wikia.nocookie.net/gameofthrones/images/8/8a/House-Strong-Square.PNG/revision/latest?cb=20170523035103
House Swann,https://vignette.wikia.nocookie.net/gameofthrones/images/9/9b/House-Swann-Square.PNG/revision/latest?cb=20160801004700
House Swyft,https://vignette.wikia.nocookie.net/gameofthrones/images/0/01/House-Swyft-Square.PNG/revision/latest?cb=20160731085759
House Tarbeck,https://vignette.wikia.nocookie.net/gameofthrones/images/5/59/House-Tarbeck-Square.PNG/revision/latest?cb=20180325032918
House Targaryen Blacks,https://vignette.wikia.nocookie.net/gameofthrones/images/a/a7/House-Targaryen-Blacks-Square.PNG/revision/latest?cb=20170526032250
House Targaryen Greens,https://vignette.wikia.nocookie.net/gameofthrones/images/9/99/House-Targaryen-Greens-Square.PNG/revision/latest?cb=20170526032356
House Targaryen,https://vignette.wikia.nocookie.net/gameofthrones/images/1/16/House-Targaryen-heraldry.jpg/revision/latest?cb=20151004105028
House Tarly,https://vignette.wikia.nocookie.net/gameofthrones/images/d/d8/House-Tarly-Square.PNG/revision/latest?cb=20170809084002
House Tarth,https://vignette.wikia.nocookie.net/gameofthrones/images/7/7d/House-Tarth-Square.PNG/revision/latest?cb=20170724011714
House Tully,https://vignette.wikia.nocookie.net/gameofthrones/images/d/d4/House-Tully-heraldry.jpg/revision/latest?cb=20140402123549
House Tyrell,https://vignette.wikia.nocookie.net/gameofthrones/images/3/3d/House-Tyrell-heraldry.jpg/revision/latest?cb=20140402122823
House Umber,https://vignette.wikia.nocookie.net/gameofthrones/images/f/fb/House-Umber-Square.PNG/revision/latest?cb=20160317111638
House Velaryon,https://vignette.wikia.nocookie.net/gameofthrones/images/2/20/House-Velaryon-Square.PNG/revision/latest?cb=20170103100745
House Waynwood,https://vignette.wikia.nocookie.net/gameofthrones/images/3/32/House-Waynwood-Square.PNG/revision/latest?cb=20170523041223
House Whent,https://vignette.wikia.nocookie.net/gameofthrones/images/1/1d/House-Whent-Square.PNG/revision/latest?cb=20170523041719
House Whitehill,https://vignette.wikia.nocookie.net/gameofthrones/images/c/ce/House-Whitehill-Square.PNG/revision/latest?cb=20170523042036
Kingsguard crown,https://vignette.wikia.nocookie.net/gameofthrones/images/a/a3/Kingsguard_crown.png/revision/latest?cb=20151004090921
Maesters,https://vignette.wikia.nocookie.net/gameofthrones/images/c/c2/Maesters-Square.png/revision/latest?cb=20170727094652
Night's Watch,https://vignette.wikia.nocookie.net/gameofthrones/images/9/91/Night%27s-Watch-sigil.jpg/revision/latest?cb=20140402124245
Queensguard,https://vignette.wikia.nocookie.net/gameofthrones/images/7/71/Queensguard-Square.PNG/revision/latest?cb=20170104155817
Second Sons,https://vignette.wikia.nocookie.net/gameofthrones/images/1/17/Second-Sons-Square.PNG/revision/latest?cb=20160907131639
SlaveMasters,https://vignette.wikia.nocookie.net/gameofthrones/images/0/06/SlaveMasters-Square.PNG/revision/latest?cb=20160907130334
Wildling Icon,https://vignette.wikia.nocookie.net/gameofthrones/images/1/15/Wildling-Icon.jpg/revision/latest?cb=20140405012421
Blacks,https://vignette.wikia.nocookie.net/gameofthrones/images/c/c5/House-Targaryen-Blacks-Shield.PNG/revision/latest?cb=20170526032032